Source,Key Patent Number,Standardised Active Ingredients
FDA Orange Book,US9782551,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US8746242,"FLUTICASONE, FLUTICASONE; UMECLIDINIUM; VILANTEROL, FLUTICASONE; VILANTEROL"
FDA Orange Book,US9333310,"FLUTICASONE, FLUTICASONE; UMECLIDINIUM; VILANTEROL, FLUTICASONE; VILANTEROL"
FDA Orange Book,US9066957,FLUTICASONE; SALMETEROL
FDA Orange Book,US9415008,FLUTICASONE; SALMETEROL
FDA Orange Book,US9987229,FLUTICASONE; SALMETEROL
FDA Orange Book,US11090294,FLUTICASONE; UMECLIDINIUM; VILANTEROL
FDA Orange Book,US7488827,FLUTICASONE; UMECLIDINIUM; VILANTEROL
FDA Orange Book,US7498440,FLUTICASONE; UMECLIDINIUM; VILANTEROL
FDA Orange Book,US8183257,FLUTICASONE; UMECLIDINIUM; VILANTEROL
FDA Orange Book,US8309572,FLUTICASONE; UMECLIDINIUM; VILANTEROL
FDA Orange Book,US9750726,FLUTICASONE; UMECLIDINIUM; VILANTEROL
FDA Orange Book,US7439393,"FLUTICASONE; UMECLIDINIUM; VILANTEROL, FLUTICASONE; VILANTEROL"
FDA Orange Book,US8161968,"FLUTICASONE; UMECLIDINIUM; VILANTEROL, FLUTICASONE; VILANTEROL"
FDA Orange Book,US8511304,"FLUTICASONE; UMECLIDINIUM; VILANTEROL, FLUTICASONE; VILANTEROL"
FDA Orange Book,US8534281,"FLUTICASONE; UMECLIDINIUM; VILANTEROL, FLUTICASONE; VILANTEROL"
FDA Orange Book,US11116721,FLUTICASONE; VILANTEROL
FDA Orange Book,US8414921,METFORMIN; SITAGLIPTIN
FDA Orange Book,US10232152,MOMETASONE
FDA Orange Book,US10357640,MOMETASONE
FDA Orange Book,US10406332,MOMETASONE
FDA Orange Book,US7544192,MOMETASONE
FDA Orange Book,US7662141,MOMETASONE
FDA Orange Book,US7713255,MOMETASONE
FDA Orange Book,US7951130,MOMETASONE
FDA Orange Book,US7951131,MOMETASONE
FDA Orange Book,US7951133,MOMETASONE
FDA Orange Book,US8025635,MOMETASONE
FDA Orange Book,US8109918,MOMETASONE
FDA Orange Book,US8763222,MOMETASONE
FDA Orange Book,US9585681,MOMETASONE
FDA Orange Book,US10016443,MOMETASONE; OLOPATADINE
FDA Orange Book,US10376526,MOMETASONE; OLOPATADINE
FDA Orange Book,US10517880,MOMETASONE; OLOPATADINE
FDA Orange Book,US10548907,MOMETASONE; OLOPATADINE
FDA Orange Book,US10561672,MOMETASONE; OLOPATADINE
FDA Orange Book,US10646500,MOMETASONE; OLOPATADINE
FDA Orange Book,US10758550,MOMETASONE; OLOPATADINE
FDA Orange Book,US10765686,MOMETASONE; OLOPATADINE
FDA Orange Book,US11400101,MOMETASONE; OLOPATADINE
FDA Orange Book,US11679210,MOMETASONE; OLOPATADINE
FDA Orange Book,US12064442,MOMETASONE; OLOPATADINE
FDA Orange Book,US9078923,MOMETASONE; OLOPATADINE
FDA Orange Book,US9370483,MOMETASONE; OLOPATADINE
FDA Orange Book,US9750754,MOMETASONE; OLOPATADINE
FDA Orange Book,US9937189,MOMETASONE; OLOPATADINE
FDA Orange Book,US10413543,ROSUVASTATIN
FDA Orange Book,US10086047,SEMAGLUTIDE
FDA Orange Book,US10220155,SEMAGLUTIDE
FDA Orange Book,US10278923,SEMAGLUTIDE
FDA Orange Book,US10335462,SEMAGLUTIDE
FDA Orange Book,US10357616,SEMAGLUTIDE
FDA Orange Book,US10376652,SEMAGLUTIDE
FDA Orange Book,US10888605,SEMAGLUTIDE
FDA Orange Book,US10933120,SEMAGLUTIDE
FDA Orange Book,US10960052,SEMAGLUTIDE
FDA Orange Book,US11097063,SEMAGLUTIDE
FDA Orange Book,US11311679,SEMAGLUTIDE
FDA Orange Book,US11318191,SEMAGLUTIDE
FDA Orange Book,US11382957,SEMAGLUTIDE
FDA Orange Book,US11446443,SEMAGLUTIDE
FDA Orange Book,US11752198,SEMAGLUTIDE
FDA Orange Book,US11759501,SEMAGLUTIDE
FDA Orange Book,US11759502,SEMAGLUTIDE
FDA Orange Book,US11759503,SEMAGLUTIDE
FDA Orange Book,US12029779,SEMAGLUTIDE
FDA Orange Book,US7762994,SEMAGLUTIDE
FDA Orange Book,US8114833,SEMAGLUTIDE
FDA Orange Book,US8129343,SEMAGLUTIDE
FDA Orange Book,US8536122,SEMAGLUTIDE
FDA Orange Book,US8684969,SEMAGLUTIDE
FDA Orange Book,US8920383,SEMAGLUTIDE
FDA Orange Book,US9108002,SEMAGLUTIDE
FDA Orange Book,US9132239,SEMAGLUTIDE
FDA Orange Book,US9278123,SEMAGLUTIDE
FDA Orange Book,US9457154,SEMAGLUTIDE
FDA Orange Book,US9616180,SEMAGLUTIDE
FDA Orange Book,US9687611,SEMAGLUTIDE
FDA Orange Book,US9764003,SEMAGLUTIDE
FDA Orange Book,US9775953,SEMAGLUTIDE
FDA Orange Book,US9861757,SEMAGLUTIDE
FDA Orange Book,USRE46363,SEMAGLUTIDE
FDA Orange Book,US10925871,SITAGLIPTIN
FDA Orange Book,US11344512,TAPENTADOL
FDA Orange Book,US7994364,TAPENTADOL
FDA Orange Book,US8114383,TAPENTADOL
FDA Orange Book,US8536130,TAPENTADOL
FDA s156 Granted,USRE37721,EZETIMIBE
FDA s156 Granted,USRE37314,ROSUVASTATIN
FDA s156 Granted,USRE39593,TAPENTADOL
FDA s156 Granted,US4335121,FLUTICASONE
FDA s156 Granted,US5164194,AZELASTINE
FDA s156 Granted,US8008449,APIXABAN
FDA s156 Granted,US8778346,VILANTEROL;FLUTICASONE
FDA s156 Granted,US9505839,UMECLIDINIUM;VILANTEROL
FDA s156 Granted,US10377824,NIVOLUMAB
FDA s156 Granted,AU2000011572,SEMAGLUTIDE
FDA s156 Granted,AU2002217082,RISANKIZUMAB
FDA s156 Appl,AU2002247019,NIVOLUMAB; RELATLIMAB
FDA s156 Appl,AU2002326026,NIVOLUMAB; RELATLIMAB
AU PTE,AU2002341693,DIMETHYL FUMARATE
AU PTE,AU2002349001,MOMETASONE
AU PTE,AU2003244799,EZETIMIBE; ATORVASTATIN
AU PTE,AU2004273573,FLUTICASONE; VILANTEROL
AU PTE,AU2005237576,APIXABAN
AU PTE,AU2006224536,TAPENTADOL
AU PTE,AU2006226733,AZELASTINE; FLUTICASONE
AU PTE,AU2006244885,SEMAGLUTIDE
AU PTE,AU2007264946,UMECLIDINIUM; VILANTEROL
AU PTE,AU2011323426,SEMAGLUTIDE
AU PTE,AU2011343190,DARATUMUMAB
AU PTE,AU2012202307,NIVOLUMAB
AU PTE,AU2013234496,INDACATEROL; MOMETASONE FUROATE
AU PTE,AU2016273970,RISANKIZUMAB
AU PTE,AU2017251814,SEMAGLUTIDE
AU PTE,AU2018200239,UMECLIDINIUM;/VILANTEROL
AU PTE,AU2018236692,SEMAGLUTIDE
